,Unnamed: 0,Name,Rating,Date,Review
10,10,RED WHITE RAMEN,4 star rating,9/30/2021,"Came here on a Sunday morning. Your order is placed at the front and then can sit inside or outside. You have the option or grabbing the food or they will bring the food out to you. Take out is also an option as they have a shelf set up right next to the door for convenient grab and go style. 

I tried the dragon breath ""special"" which included fried onions and cheese. It was pretty salty so I added a fair amount of water to dilute the broth which wasn't a problem since I usually enjoy more broth anyways. The Ramen itself was a little bit more firm than I am used to. However, I also prefer undercooked rather than over. Given that the dish was entirely vegan, I was surprised at the depth and umami flavors. I appreciated the toppings offered as it provided varied taste and texture each bite. 

Service was friendly and I will definitely come again. Prices are a little high but expected given the location and quality of the food. Not to mention being entirely plant-based!"
11,11,RED WHITE RAMEN,2 star rating,12/21/2021,"I really wanted to like this place after seeing all the great reviews. I came here, hopeful, and was greeted warmly by the man working at the front and he helped give us recommendations. I got the Buddha's bowl and my friend got the Masterpiece. The food came out within 10 minutes, which was nice because we were starving after walking around Newbury all day. 

After taking the first sip, we were immediately taken aback by how bad it was. The broth was super thick and lacked any kind of flavor. It tasted like someone boiled an onion, threw in some veggies/noodles, and called it a day. Neither of us ended up finishing the ramen. I forced myself to eat a few bites before I physically could not eat any more, which is saying a lot because I am the equivalent of a human trash can. The ramen just looks and tastes so sad in comparison to all the photos and reviews on here."
12,12,RED WHITE RAMEN,3 star rating,9/28/2021,"Whoever said the Dragon Breath was disappointingly not spicy must actually be a dragon, because there's no way it can be considered ""not spicy"". As an avid lover of spicy food, I tasted the capsaicin before the noodles even reached my mouth. This felt like fire noodles, except the effects don't creep up on you- they come immediately.

Crazy spice aside (which is exactly what they advertised), the ramen is just alright. Loved the chewy semi-firm texture and the broth is good. Not as rich as non-vegan ramen, but that's to be expected. I'm a bit disappointed with the narrow disposable bowls for dining in and the lack of substantial toppings, but it's a solid choice for vegan ramen!"
13,13,RED WHITE RAMEN,5 star rating,12/20/2021,"Vegan ramen that actually tastes like ramen and not watered down broth. It is very much an eat and go kind of setting but that not surprising as it is decorated and set up to be like ramen-ya back in Japan .

The staff are great and the food is too. It's one of the few places I'm willing to travel to eat at.

I always order extra toppings because I'm a glutton."
14,14,RED WHITE RAMEN,4 star rating,12/9/2021,"We were chilled and decided that hot soup was the right answer for lunch. I ordered the Masterpiece, A ordered the Special.
The seating area is no-frills, but sufficient for consuming a (disposable) bowl of soup.
At first, I was not impressed with the flavors and consistency of my Masterpiece...but a short time later I had a complete change of heart and realized that it was actually very good...really.  A loved her Special.
On a chilly day I would go back."
15,15,RED WHITE RAMEN,2 star rating,4/2/2022,"Decent flavor but overall it wasn't satisfying ramen. I got the truffle flavor and the smell was pretty overbearing from the start. Also the tofu/meat that comes with the ramen had a strange texture. There's no option to add an egg or charshiu like other restaurants, it seems like most of the food served here is takeout. Overall, wouldn't consider this a ramen place and both my friend and I didn't end up finishing our noodles."
16,16,RED WHITE RAMEN,5 star rating,6/30/2021,"Ordered the Dragon Breath ramen with crispy onions via doordash. (They also had a deal for 20% off orders $15 or more, up to a $5 discount)

Food was DELICIOUS. I'm always hesitant about ordering ramen for take out but it was still hot and everything was packaged really well. The broth had so much umami flavors that my only regret was not purchasing more broth on the side.  I really like spicy food and didn't think the Dragon Breath was that spicy - but it has a slight kick and was full of flavor. Would HIGHLY recommend."
17,17,RED WHITE RAMEN,5 star rating,12/12/2021,"New favorite spot for ramen! We stopped by Red White on Newbury for lunch on Saturday and had a great time! It looks like they do a lot of delivery but they also had a handful of tables where you could seat yourself. We ordered at the counter then sat at a table until they called our name, we went around 1pm and while all the seats were being used there was a ton of turnover so no one waited for a table. We got the truffle and classic miso ramens which were phenomenal! Both came with corn, spinach, mushrooms and tofu... they're all vegan!! We also tried the miso avocado which Id recommend if you love miso! Very reasonably priced and they get your food to you quickly. We had a great time and will be back."
18,18,RED WHITE RAMEN,4 star rating,2/17/2022,"Great ramen spot! They have just a few choices for the ramen and that's kind of nice because it is not overwhelming to decide. I had the Masterpiece ramen with the Special topping (which comes with shredded cheese and crispy onion). The ramen itself was great, I liked the umami flavor and the nice texture of the noodles. It was a very filling lunch without being overly heavy. Next time I would likely not get the special topping, it's an extra $3 for a little bit of cheese and crispy onion topping and I feel like there was not a lot of added flavor that made the dish significantly better for me, so I would say the special is not worth it."
19,19,RED WHITE RAMEN,5 star rating,5/15/2021,"The food at this vegan restaurant was surprisingly delicious. Not only was the broth flavorful, but the well integrated elements of each part in the ramen truly elevated the whole dish to another level. It didn't taste fake or lacking in anyway. To be honest I probably wouldn't have even known there were no animal products in the ramen had I not known in advance. 

The staff was extraordinarily helpful and kind. They explained the differences of each dish on the menu and made the food in a timely manner. Would totally come again."
20,20,RED WHITE RAMEN,3 star rating,3/1/2022,"Great option for a vegan ramen! The broth is creamy and thick compared to traditional ramen, noodles were great but I was not floored by the flavor but would definitely have it again. Giving it 3/5 stars because I've had much more flavorful vegetarian/vegan ramen so there's definitely room for improvement! Btw seating is limited*"
21,21,RED WHITE RAMEN,4 star rating,4/25/2021,"Would recommend this place if you're looking for fast casual, filling meal in the area! 

I didn't know that the food was vegan, but I was pretty impressed with the protein replacements actually. I got the Masterpiece ramen which had a creamy sesame broth that was tasty. Overall, pretty good for fast casual food. Not the best ramen in the world, but definitely great value for what I got - $11 a bowl. Everything else on Newbury St is so pricy, so it was perfect to find this place! As a non-vegan, definitely missed having the meat in my ramen :/ 

They have two outdoor tables for people to eat at, and a couple indoor that were available too. The staff were very friendly and explained the different menu options as it was my first time there. The food came out very fast, and portions were very filling."
22,22,RED WHITE RAMEN,2 star rating,9/21/2021,"Because of the raving review, I was stoked to try this place, especially because it's walking distance to me. Service is awesome & my takeout order was ready quick and packed perfectly. But the food here just isn't for me. 

I got the Sapporo Buddha, the only good thing about it was the noodles. For the first time ever, I dumped a whole ramen dish in the trash; it was painful to do. It was beyond salty and made it inedible. I know miso is salty, but this wasn't my first ramen.. so I know it can be delicious. 

I also got the Buddha rice. It was okay, the miso avocado was delicious and that's about it. End of the story, I pretty much dumped $30 into the trash & wasted food."
23,23,RED WHITE RAMEN,2 star rating,3/21/2022,I went here today and I was quite disappointed.  I ordered the masterpiece which came in a paper take-out container.  I guess taking pictures from directly on top makes it look like a real ramen bowl.  I was also hoping to get a beer like you would get in a real ramen place.  But the real problem with this was that it was bitter.  The soup flavor was bitter.  Aside from that some of the ingredients were cold.  I guess this place is the Chipotle of ramen.
24,24,RED WHITE RAMEN,2 star rating,9/23/2021,"I don't know what it is about Newbury, but I feel like the people who review restaurants here have never eaten anywhere else.  It's like ""OMG this place puts its food on plates, 5 stars!"" Really, Dunkin Donuts is like 5 stars on Newbury and 3 on Boylston.  You get what you pay for.

I mean, except on Newbury.  In which case you get an absolute generic paper bowl filled with nonsense for $16.  I mean, it's not bad, but what I ended up with was a whole lot of noodles, a few mushrooms and a metric ton of corn.  I'm not one to point people at Santouka, but for $16 they give you some pork, at least.  The broth was...okay, but ramen, in my (meager) experience is supposed to be this thick porky sludge that has so much complexity to it your mouth just kind of gives up and is like ""yeah, pleasure, whatever"".  This was...just okay.

But maybe I got the wrong thing.  People are ranting about the vegetarian ramen which sounds like an oxymoron to me, but hey.  It's Newbury.  Anything goes.  And then gets 5 stars.

Service was really nice, though."
25,25,RED WHITE RAMEN,5 star rating,1/16/2022,"I haven't been to a place that has all-vegan ramen  in two years. This really made me the happiest I have been in so long! I got their basic one, the Masterpiece which has tofu bits, mushrooms , spinach, and corn  The broth is sesame-based. The noodles were how I like them, thick and chewy, and all the toppings were fresh and that broth tho  If you're ever in Boston, check out Red White in the Back Bay Area"
26,26,RED WHITE RAMEN,5 star rating,10/1/2021,"RED WHITE packs the savory flavor - appealing to ramen lovers everywhere and particularly any prior victim of a bland vegetarian broth! Every bowl includes fresh spinach, mushroom, corn, tofu, soy meat, and perfectly cooked ramen in your choice of satisfying broth. I loved the King & Queen - its rich aroma  and almost creamy truffle taste made it the best ramen bowl I've ever had. The Miso Avocado was definitely an acquired taste, but if you love either of those flavors you might be really into it.

The friendly staff, ambiance, and cozy Newbury location (with patio!) only add to RED WHITE's greatness. I really hope you come here and experience the same umami joy ride as I did!"
27,27,RED WHITE RAMEN,5 star rating,2/16/2022,EXCELLENT vegan ramen!! Perfect for meat eaters because they don't advertise as a vegan ramen shop but everything is and it's so cute and casual on the inside. Every time I go the chefs are working so hard and you can see them putting so much love into their creations. They deserve 10/5 stars.
28,28,RED WHITE RAMEN,5 star rating,11/16/2021,"This place blew me away! My mom and I came here for dinner after an eventful day of exploring the city and this was just what we needed to more than satisfy our hungry bellies! 
We shared the masterpiece creamy sesame ramen and the buddha rice bowl with roasted miso avocado. Both were extremely delicious but the latter really just stole the show... and my heart. The creamy avocado with the fire-roasted miso glaze... my tastebuds were dancing with every single bite and I never wanted it to end!! 

If you're ever in the area, you need to come here and experience the magic that I experienced with this miso glazed avocado buddha bowl! You won't regret ittt!!! 

Also the ambiance was nice and the service was great!"
29,29,RED WHITE RAMEN,5 star rating,8/13/2021,"The hype is so real.

I've been to tons of vegan ramen places all over SoCal and the Bay Area, and quite frankly they're all pretty disappointing. Especially when compared to some of the vegan ramen places I've went to in Japan which have been life-changingly incredible, they just can't stack up.

So as a semi-experienced vegan ramen orderer, I have to say that Red White is honestly comparable with the vegan ramen I've had in Japan. The sesame broth was incredibly flavorful and the toppings are all really tasty and meat-like too. Would really recommend upgrading and getting the cheese and crispy onions. Price is overall pretty affordable too, I remember it being like $13 plus tax for a bowl. Small disclaimer, I would suggest not ordering the ""Mix Well"" dry ramen (it's kind of just like the sesame ramen just without that delicious broth) or the Dragon's Breath (it's kind of more a dry heat without as much flavor as you'd hope for)."
30,30,RED WHITE RAMEN,5 star rating,9/16/2021,"It's not easy finding vegan ramen, so this place is special! Located on Newbury street and down some steps, this quaint little shop has a variety of ramen options. You enter inside, order, and pay upfront. Then, they either call your name or bring your order out to you. There is intimate indoor seating and some outdoor seating too. The cashier was awesome. Very quick to give recommendations based on our preferences and very funny as well. I ordered the Masterpiece because he gave a convincing pitch for it. It was great! Good contrast of veggies and noodles, and the broth tasted solid too. Not very photogenic, but the flavor made up for it. As a non-vegan, I still enjoyed it thoroughly. Would definitely come here again!"
31,31,RED WHITE RAMEN,4 star rating,10/21/2021,"Stunning VEGAN ramen and rice bowls 

I tried the King and Queen (truffle flavor) ramen and highly recommend! 

The broth is rich. Noodles chewy. Toppings (corn, mushrooms, spinach, and tofu) filling. Did I mention it is Vegan?? Which I am not..  but it is lovely to see delicious meat- free options."
32,32,RED WHITE RAMEN,5 star rating,3/19/2022,"Loved the dragon breath soup, dined in, I have found my comfort food in Boston, this was my first visit at a vegan Japanese restaurant. Can't wait to try the rest of the menu while I am in Boston"
33,33,RED WHITE RAMEN,3 star rating,3/28/2021,"Firstly, I really appreciate the fact that this restaurant's entire menu is vegetarian. It makes dining out very easy especially when people have different dietary restrictions in a friend group. 

My boyfriend and I tried the Sapporo Ramen and the Dragon Breath Ramen. Between the two I definitely preferred the Sapporo Ramen. I found the broth with the mix of the ingredients worked well in this bowl, whereas I didn't find that the spice in the Dragon Breath Bowl was fully incorporated in the broth. I enjoyed the flavor of the Sapporo Ramen and especially liked the chewy texture of the noodles. 

I would love to come back and try some of their other options!"
34,34,RED WHITE RAMEN,5 star rating,12/10/2021,Working in the city and I was craving ramen. This restaurant came up and I decided to check it out. From the time I walked in the service was great! I told them it was my first time and they took me through the menu and flavors and customer favorites. The first bowl I got was the Masterpiece and boy was it delicious! I was in heaven. Portion size was amazing too. Before I left I got my husband a bowl of the dragons breath which we ate later that night. Wow spicy but oh so good. A must try when in Boston.
35,35,RED WHITE RAMEN,5 star rating,3/13/2022,"If you are vegan or vegetarian, you will definitely appreciate the delicious ramen at Red White, but even if you are not, try it! The aromatic, spicy umami of the Tokyo ramen won over the meat eater among us. Those in our party who went for traditional Sapporo ramen were also pleased. The service is speedy and friendly. The owner and staff are so nice and they have cheerfully decorated the lower-floor restaurant in Japanese murals and origami paper. We got take out this time and it was nice and hot and very carefully packed."
36,36,RED WHITE RAMEN,3 star rating,2/20/2022,"tastes like vegan ramen

Came here with the vegetarian friend although I am not vegan myself, we thought it would be interesting to try out. I was skeptical because I feel that the rich pork broth in traditional ramen would be difficult (or perhaps impossible to replace). I am a big fan of umami flavors so I got the King&Queen with extra noodles (because I was super hungry that day). First off, I was blown away on how packed the ramen was - the bowl must have weighed over a pound. A ton of food. Def didn't need to get the extra noodles haha. The ramen itself was okay. Unfortunately, I did not like the broth that much but this may be because I am so used to pork broth. The saltiness is the first thing that hits you but there was no richness to back it up. Tasted similar to instant ramen broth. The noodles were also disappointing. They were very soggy (whereas I like the ramen noodles that are slippery and pick up the broth flavor on the outside while maintaining their integrity). Overall, it was an interesting ramen experience but not my cup of tea. I guess it is a decent alternative to traditional ramen, especially to those with dietary restrictions. But head to head, it does not compare.

We also got the miso avocado appetizer and it was underwhelming as well. Tasted exactly what it looks like - super concentrated miso (very salty) on top of avocado. When miso is served this concentrated, it has a funk to it that I did not like."
37,37,RED WHITE RAMEN,5 star rating,12/28/2021,"This vegan Ramen spot in Boston is incredible!
The flavors were absolutely delicious, the concept is forward and sustainable, and I'm telling you this place is a must!
We got: 
-Masterpiece Ramen
-Buddha Rice 
-Roasted Miso Avocado- one of the best things I've tasted! 

I can't wait to go back! And what a  great location- right on Newbury street!"
38,38,RED WHITE RAMEN,4 star rating,7/5/2021,"For vegan ramen, this place was pretty good. I got the dragon breath regular ramen and it came out to be around $13. For spice level, I didn't think it was that spicy but the flavor was good. It came with spinach, corn, and mushrooms on top. The tofu was kind of crumbled into the soup which was a little strange, and there was also a little bit of other fake meat in the soup. Overall, portion size was filling and came hot! This is more of a fast service place where you place an order with the cashier then pick it up when it's ready and sit down. Definitely doesn't taste like classic pork ramen but hit the spot on a rainy day."
39,39,RED WHITE RAMEN,5 star rating,5/5/2021,"22 hours agoNEW

The service was great. Everyone was extremely nice and attentive. The decorations were simple and cute. The ramen was VERY flavorful and a perfect portion of everything. Would definitely come back here again!"
40,40,RED WHITE RAMEN,3 star rating,11/29/2021,"I really really wanted a bowl of ramen after reading reviews about this place. I was so delighted to learn they had a gluten-free Ramen option! Unfortunately I am allergic to fructans, so no garlic or onions for me either. Sadly the Ramen broth contains garlic. I was thankful that there was one entrée option to suit my dietary restrictions. The sushi rice wine bowl from the photograph looked like it was packed full of delicious veggies. Unfortunately when I got it back to my hotel it was mostly rice, kale and ginger, there were two cherry tomato halves in the entire bowl. The miso avocado was tasty, but the bowl just lacked pizzaz, especially for the $12 price. 
The service was fast and friendly, and the location convenient."
41,41,RED WHITE RAMEN,5 star rating,10/1/2021,"I'm not a ramen connoisseur, but I am vegan, which makes me 50% representative of Red White's demographic. With that grain of salt, this was really, really good ramen. It wasn't overly salty or flavorless like other reviewers said, but rich, savory, and creamy (I got the sesame one). The vegetables tasted fresh and the noodles were hearty, but not overwhelming. It struck that perfect balance between comfort food and healthy food. Great value for price, too - it came in a really big container."
42,42,RED WHITE RAMEN,1 star rating,11/9/2021,"I got the special dragon breath ramen which, according to the employees, ""a little spicier"".  They clearly had no idea what they were saying because It was WAY too spicy, to the point it's not edible.  It was also very bitter, like soap. Had to throw out the whole thing.

At first this place was run by people who clearly cared about the restaurant- very friendly and knowledgeable, etc.  Sad to see this place deteriorate already in terms of service and quality."
43,43,RED WHITE RAMEN,5 star rating,10/8/2021,"THIS PLACE IS SO GOOD.
Vegan and gluten free ramen options...unheard of, and then for it to be this good? Unreal.
Try the miso avocado too!
Great service, super nice folks
They package SO WELL for takeout."
44,44,RED WHITE RAMEN,5 star rating,1/30/2021,"My favorite spot in Boston! Love their tasty ramen and rice bowls. My favorite are mix well ramen and Buddha rice bowl. Super delicious and healthy. The Buddha rice bowl literally comes with  over 8 ingredients. Mix it up with their seaweed sauce, divine. 

I often come here to pickup the ramen to go. Eaten here during my first time with a friend and my husband. I've been back here over a dozen times and it's always super simple and quick to pickup. The staff are super friendly on top of the yummy vegan food."
45,45,RED WHITE RAMEN,5 star rating,2/16/2021,"I'd highly recommend this spot to anyone looking for a quick bowl of ramen in Back Bay. They have a small indoor seating section with socially distanced tables. The staff were extremely friendly, and I was served in under 10 minutes!

I had the Dragon Breath Ramen, which was amazing. A bit on the spicier side, but this was perfect for me. The noodles had a good bite, and although I don't usually eat vegetarian I didn't miss the meat here one bit. The broth is star of the show here though, and I could've drank a bowl of that on its own!"
46,46,RED WHITE RAMEN,3 star rating,9/25/2021,"Ramen is a favorite, and so i wanted to see what they had to offer.  They have a different style, so if you are looking for  traditional, this may not be the place.  The food is still good and the server - Louis, was super friendly."
47,47,RED WHITE RAMEN,5 star rating,9/9/2021,"My friends and I were looking for a good ramen place in Boston and found this restaurant. I tried the Dragon Breath and it was a solid ramen. The broth was full of flavor and there was a good kick of spice. It's disappointing when a restaurant advertises a ""spicy"" dish, but it doesn't end up being spicy. However, the Dragon's Breath offers a flavorful spice; it's not spicy enough that you'll need to run to get some milk, but an enjoyable spice. I was hesitant at first when I saw the ramen since it came in togo containers, but the ramen was still steaming hot and delicious when I ate it. The noodles were firm with a nice bounce to it. There wasn't much toppings, but I didn't mind since the noodles with the broth tasted so good. I would definitely recommend trying this place if you're looking for some ramen."
48,48,RED WHITE RAMEN,4 star rating,9/6/2021,"my friends and i decided to stop by this place yesterday for lunch and we had a great time! this restaurant is relatively small and located underneath some steps, so they're quite easy to miss if you're just walking by.
-you can order for delivery or pick up through their website.
-there were a couple of tables set up outside on the street. the inside of the restaurant has about 5 small tables, 3 medium tables, and one long table (that's enough to fit 4 people). 
-you order at the cashier and pay right away. afterward, you go to pick up the food when they call your name. we waited around 10 minutes on line to order and then another 15 minutes for our food to be made. 
-the service here is great! the staff are super hardworking and they're open to giving recommendations/a run down of their relatively small menu.
-both cash and card payments are accepted.

9/5/21
-buddha rice: this bowl comes with white rice, black rice, quinoa, black beans, kale, broccoli, cauliflower, cherry tomatoes, tofu, vegan meat, mushrooms, corn, kale, pickled ginger, sunflower seeds, and roasted miso avocado. you can get the roasted miso avocado for an extra ~$5 on other dishes, but it comes free of charge for the buddha rice. i loved how balanced the meal was, and it was very filling as well. the roasted miso added an amazing flavor profile, and i enjoyed it a lot. my only complaint is that it started to taste too salty halfway through. this costed $12.79 including tax, which i thought was quite fair. it's not something that i would order again in the future, but i was really glad that i had decided to get this. (4/5)

overall, this place definitely deserves more hype, especially for their rice bowls! however, i'm not sure if i would come back in the future unless they added more options on their menu.
i would highly recommend that you must try their buddha rice with roasted miso avocado."
49,49,RED WHITE RAMEN,4 star rating,3/18/2022,"I ordered the curry masala ramen, it was so good. They made sure it wasn't as spicy which made it easier for me to eat. The broth was so rich in flavor. The noodles could have been softer but it was fine. I'm not vegan but I loved it! Would def recommend"
50,50,RED WHITE RAMEN,1 star rating,4/2/2022,"you can literally make your own instant noodles that taste better than this. the paper cups dont allow for the noodles to fully absorb the soup, way to overcrowded i felt like i needed to poke and dig up my noodles. there are def better options nearby"
51,51,RED WHITE RAMEN,5 star rating,1/22/2022,"Vegan ramen FTW! This place is really great. They have a modest menu with like six different types of ramen along with a rice bowl option. My wife had the miso ramen while I had the dragon's breath. Both were awesome.

Even better since my wife is gluten free, they are very well versed in allergy issues and they were able to sub rice noodles for the regular ones. The soup bases and topping are all gluten free too, so she could have a very close to ""normal"" experience. 

We didn't love the rice bowl and won't order that again, but we'll definitely be back soon when the craving hits again."
52,52,RED WHITE RAMEN,5 star rating,6/26/2021,"When Red White first opened I was not a fan. They definitely took a hard look at what they were doing, what was already out there, and what they could offer. And I'm blown away by what they came up with. 

Tried them for the first time the other day. I had the Mix Well (the no broth ramen) and my wife got the Sapporo Buddha. Everything about it was perfect. Simple but really tasty mix of textures and flavors. They even separate the ingredients from the broth for takeout so nothing gets soggy in transit. 

Just thank you so much to the RW team for adding this to the Boston vegan space. This immediately vaults into one of my favorite restaurants in the city."
53,53,RED WHITE RAMEN,5 star rating,6/22/2021,"Left P town in the cape early because of the weather. With it being rainy I decided to go to Boston to go on a little ramen spree (3 places in the day)

Met up with a friend who got there after us and told me that he was vegan so he wanted to show me this place. I've never been vegetarian or vegan and certainly never had vegan ramen so I was skeptical but boy was I wrong! 

I got the dragons breath (crushed it, broth and all) and my wife got the truffle ramen ans almost ate all of hers! (She never does that) 

Service was amazing the only thing I wish was that there was beer (maybe next time!)"
54,54,RED WHITE RAMEN,4 star rating,12/19/2020,"We stopped here for a quick bite prior to catching a train back to DC since it was close to our hotel. Despite my skepticism re: vegan ramen, I was pleasantly surprised. The broth was flavorful and the tofu + veggie combo (believe I got the Sapporo) was hearty enough for this meat loving girl. One of my dining partners was a vegetarian, so she was particularly impressed. The interior is cute but seating is pretty limited. Pricing wise, about on par with normal ramen ( $10-11) which can feel a tad expensive sans meat. That being said, certainly worth it for those who wouldn't otherwise get to enjoy a typical bowl of ramen. I think this place could do really well in D.C!"
