LocationName,Address,City,State,Zip,Description,Website,Phone,
Apex Orchards,153 Peckville Road,Shelburne ,MA,01370,Enjoy a fun filled weekend by stopping by Apex Orchard to pick your own peaches apples or pumpkins. Go for a tractor-drawn trailer ride and enjoy our beautiful views of Massachusetts Vermont and New Hampshire. Don’t forget to stop by our Farm Store! Our Farm Store patio and bathrooms are handicap accessible. Please give us a call if you have questions or concerns regarding picking accessibility in our orchard.  Open Daily 9:00 am - 5:00 pm in August Extended hours in September from 9:00 am - 6:00 pm,www.apexorchards.com,(413) 625-2744,
Applefield Farm,Route 117 - 722 Great Rd.,Stow,MA,01775,Retail Farm 2 Farmer's Markets and Farmstand. We have 8 greenhouses and sell lots of bedding plants and potted flowers.,applefieldfarms.com,(978) 897-2699,
Appleton Farms,219 County Road,Ipswich,MA,01938,One of America's oldest working farms with a 550-member CSA a grass-based dairy and beef operation a maple sugaring operation and a farm store that sells sells farmstead cheeses yogurt beef eggs and maple syrup. There is also 12 miles of beautiful walking trails a visitor center and year-round education programs events and culinary workshops for all ages. ,www.thetrustees.org/places-to-visit/north-shore/appleton-farms.html,(978) 356-5728,
Araujo Farms & Greenhouses,1522 Williams St.,Dighton ,MA,02715,Picnic area gardens farm animals greenhouse-open Mar. to Dec.,www.araujofarms.com,(508) 669-6988,
Arcadian Farms,258 Norfolk Street,Holliston,MA,01746,Annuals perennials fresh corn apples peaches pears fresh cider.,www.arcadianfarms.com/,(508) 429-4439,
Artichoke Dairy Farm,Rogers Street,West Newbury,MA,01985,Raw milk fresh eggs and farmstead cheese. Milk room hours are daily from 9am – 7pm. ,northeastharvest.com/farm-pages/artichoke-dairy-farm/,(978) 499-8600,
Art's Berry Farm,81 Parker Street,East Longmeadow ,MA,01028,The best berries are the ones you pick yourself! We have u-pick blueberries in July and August. Pick Your Own begins July 5th. Fresh pre-picked berries are also available retail at the stand. Farm store with flower and vegetable plants cut flowers and seasonal vegetables. When berries are in season we are open daily from 9am to 7 pm. Pick Your Own begins July 5th. ,,(413) 783-1909,
Ashley's Peaches,1461 Main St. ,Acushnet,MA,02743,5th generation farm with over 30 varieties of peaches grown in succession to be available throughout the season. The fruit is picked that morning and sold at the farm stand the same day. If the fruit is not ripe the farm stand will not be open. Call ahead and come early!  ,,(508) 763-4329,
Atherton Farm,147 Ashfield Road,Shelburne ,MA,01370,Small farmstand/greenhouse operation. Informal tour of greenhouse vegetable and cut flower gardens. Visit the chickens that lay "Easter eggs." Kids will love our donkey and might see a calf. Custom holiday wreaths made on site. Open daily 11:00 am - 6:00 pm Weekends 9:00 am - 6:00 pm May to October.,,(413) 625-2659,
Atkin's Farm,1150 West Street,Amherst,MA,01002,Atkins was founded in 1887 when George Atkins settled in So. Amherst and planted the first 13 McIntosh trees in the area. 30000 square foot stand features home-grown apples peaches and pears as well as a complete produce line bakery deli dairy candy gifts and flowers with emphasis on locally grown and produced. ,www.atkinsfarms.com,(413) 253-9528,
Atlas Farm Stand/Greenfield,156 Main Street,Greenfield,MA,01301,Dates and Time: 2nd Saturday of the month December 12 to March 13 10:00 am - 2:00 pm. ,,,
Atlas Farm Stand/Turners Falls,96 Fourth Street,TURNERS FALLS,MA,01376,Dates and Time: Fourth Saturday of the month January 30 to March 27 10:00 am - 2:00 pm.,www.atlasfarm.com/farmers-markets,,
Atlas Farm Store,218 Greenfield Rd.,South Deerfield,MA,01373,Certified organic produce including many specialty and heirloom varieties. Open Sunday through Saturday 8:00 am - 7:00 pm year-round.  ,www.atlasfarm.com/farm-store,(413) 397-3587,
Austin Brothers Valley Farm,270 West Street,Belchertown,MA,01007,Meat CSA; farm store with grass fed beef steaks ground beef roasts sides available. Pork chops sausage bacon. Please call ahead before coming to the farm. Hay seasonal vegetables PYO pumpkins. Fresh brown eggs. Manure hot or composted. New corn maze!  CSA Products offered: Meats Pick-up: Belchertown Amherst EBT-SNAP Accepted,www.austinsfarm.com,(413) 668-6843,
Autumn Hills Orchards,495 Chicopee Row,Groton,MA,01450,Working farm with spectacular westerly views growing over 35 varieties of apples plus peaches pears and plums in season. PYO blueberries (July and August) and raspberries (summer and fall). Tree fruit in August through October. Friendly staff will help you find the best picking spots offer recipes and gladly share information on our farming methods.,AutumnHillsOrchard.com,(978) 448-8388,
Autumn Morning Farm,658 Sunrise Avenue,Barre,MA,01005,Autumn Morning Farm distributes its Local Raw Unadulterated Honey created by its Treatment Free Bees under the label; "Aunt Chrissy's Honey" which has been a local New England favorite for over 20 years.,www.autumnmorningfarm.com,(978) 434-1200,
Back Acres Farms,194 South Main Street ,Middleborough,MA,02346,Have over 10 acres of U-Pick pumpkins all sizes - from jack be littles to large carving pumpkins. We also sell an assortment of unusual gourds and winter squashes (buttercup butternut and acorn) corn stalks hay bales and local apples. 2-acre corn maze hayrides wildlife viewing.,www.facebook.com/pages/Back%20Acre%20Farms/162338690457847/,(508) 947-6789,
Balance Rock Farm,104 Highland Street,Berlin,MA,01503,Grass fed beef farm country store with picnic area near animals. Also raising some pork lamb poultry and hay. Manure compost and grain available.,www.balancerockfarm.com,(978) 838-2024,
Barberic Farm,383 Cooper Lane,Shelburne ,MA,01370,Frozen lamb wide variety of specialty foods wool and hand made goods. Attend farmers markets in Shelburne Falls Ashfield and at the farm by appointment only.,www.buylocalfood.org/directory/listing/barberic-farm,(413) 625-8203,
Bardwell Farm,49 Main Street,Hatfield,MA,01038,20 acre diversified vegetable farm growing over 200 varieties of crops in some of the richest silt loams along the CT River. Proud to cultivate the finest produce thru roadside farmstand CSA farm share and wholesale distribution services. Offer same day 2-hour window delivery contactless pickup curbside pickup and ship anywhere in the Continental US.,www.bardwellfarm.com/,(413) 247-9324,
Barker's Farmstand,1267 Osgood Street. (Rt. 125),North Andover,MA,01845,The oldest continuing farm in operation in Massachusetts (est. 1642). PYO apples and flowers. Grow strawberries vegetables flowers hemlock bark mulch. Group school hayrides thru orchards & fields. Farmstand & greenhouse. Christmas trees custom wreaths kissing balls crafts and gifts.,www.facebook.com/pages/Barkers-Farm/545621728796171,(978) 683-0785,
Barrett's Mill Farm,449 Barretts Mill Road,Concord ,MA,01742,Grow over 50 types of vegetables on the historic McGrath Farmstead which we lease from the town of Concord. Produce is grown using sustainable methods and sold through our farmstand and CSA.  CSA products offered: Vegetables fruit and flowers CSA Pickup(s): On Farm Tuesdays Thursdays and Saturdays CSA Pickup Days: Tuesday Thursday Saturday Starting in June ,www.barrettsmillfarm.com,(978) 254-5609,
Barstow's Longview Farm,172 Hockanum Rd.,Hadley,MA,01035,Owned and operated by 6th and 7th generation Barstows. Make terrific lunches love to bake farm 450 acres raise 500 head annually produce 7000 MWh of renewable energy. Open year round - open daily until 4pm. Call ahead for lunch breakfast bakery items local groceries and homemade prepared foods for pick up at the drive thru window. ,www.barstowslongviewfarm.com/,(413) 586-2142,
Bartlett Farm,96 Main St.,Salisbury,MA,01952,A century farm with farmstand selling produce beef and strawberries. Also run a sawmill offering lumber and firewood. Make and sell hay.,www.facebook.com/Bartlett-Farm-170955416411743/,(978) 834-0801,
Bartlett's Farm,33 Bartlett Farm Road,Nantucket,MA,02554,7th generation farm producing greenhouse plants for all seasons. 100 acres of fresh vegetables and a farm offering seasonal take-away specialties. Fresh cut flowers and herbs seasonally.,www.Bartlettsfarm.com,(508) 228-9403,
Bartlett's Farmstand,326 Madaket Road,Nantucket,MA,02554,June to Labor Day 8:00 am - 1:00 pm.,www.bartlettsfarm.com,,
Bartlett's Farmstand,Siasconset at the end of Milestone ,Nantucket,MA,02554,June to Labor Day Monday to Saturday 8:00 am - 1:00 pm,www.bartlettsfarm.com,,
Bartlett's Farmstand,Easy St & Oak St-Corner of Main and Federal Streets,Nantucket,MA,02554,Dates & Times: June 21 to September 4 Monday to Saturday 8:00 am - 1:00 pm; WIC & Senior Coupons Accepted; ,www.bartlettsfarm.com,,
Bartlett's Orchard,575 Swamp Road,Richmond,MA,01254,We have an apple orchard PYO operation and cider press. Our roadside farmstand features a variety of apples cider corn tomatoes squash pumpkins bedding plants & mums bakery and country gifts. There are glass windows for viewing the cider press.,www.Bartlettsorchard.com,(413) 698-2559,
Bashista Orchards,160 East Street,Southampton,MA,01073,We grow sweet and sour cherries apricots peaches nectarines plums pears and apples. Many of these are offered as pick your own in season. Visit our country store for the awesome cider donuts baked pies and breads local maple syrup and honey. Sweet cider is made in our cider mill weekly.  ,www.gotcider.net/,(413) 527-9091,
Baxter's Berry Farm,99 Wilbraham Rd. ,Monson,MA,01057,Small farm with blueberries raspberries and a few specialties such as gooseberries and red currants. Also a large selection of stone fruit such as sweet and tart cherries yellow peaches and nectarines white peaches and nectarines along with many varieties of plums. We have Pick Your Own as quantities allow.,www.facebook.com/Baxters-Berry-Farm-1706105023029329/,(413) 537-8677,
Bay End Farm,200 Bournedale Rd.,Bourne,MA,02532,Originally founded in 1906 has been providing fresh certified organic produce to families farmers markets and restaurants around the Boston and Cape Cod communities for the past 8 years. To find out about staying at Bay End Farm www.mariescottage.com and www.overbrookhouse.com.  CSA Products offered: Vegetables Flowers Pickup(s): On Farm Farmer Markets  ,www.bayendfarm.com,(508) 759-3036,
Beagle Nest Farm,122 Myricks Street (Rte. 79),Berkley,MA,02779,Cut flowers native vegetables fruits and bedding plants sold at farm stand. ,,508-822-9656,
Bear Hill Farm,14 Davis Road,Tyngsborough,MA,01879,,,(978) 692-4224,
Bear Hill Farm,17 McCormick Rd.,Spencer,MA,01562,,,(508) 885-2791,
Bear Swamp Orchard,1209 B Hawley Rd.,Ashfield,MA,01330,We are a small Certified Organic solar powered orchard and hard cider producer. From May to December we have hard cider tastings and in the fall various apple varieties are available for pick your own and ready pick throughout our fall season.,www.bearswamporchard.com,(413) 625-2849,
Bee My Honey Apiary,11 Singletary Ave.,Sutton,MA,01526,Honey creamed roasted nuts homemade soaps n more! Monday - Friday 9-5pm Sat. 9-3pm.,,(508) 581-7592,
Belkin Family Lookout Farm,89 Pleasant Street,Natick,MA,01760,Belkin Family Lookout Farm is one of the oldest continuously working farms in the U.S. PYO strawberries peaches nectarines plums apples and pumpkins. Families also enjoy train rides children's play area picnic tables hay pyramid burlap maze and Busy Bee Learning Center. Book a Birthday Party School or Camp Field Trip Group Outing or Corporate Event with us! Call U-pick hotline to find out hours and produce available. 508-653-0653,www.Lookoutfarm.com,(508) 651-1539,
Bemis Farms Nursery,29 North Brookfield Rd.,Spencer,MA,01562,Delightful retail nursery nestled among shady pines and oaks. We make gardening a walk in the park! Check out our pumpkin path!,www.BemisFarmsNursery.com,(508) 885-4247,
Berberian Farm,68 Otis Steet,Northborough,MA,01532,Retail stand specializing in home-grown vegetables and herbs and the freshest fruits available. Open 7 days a week 9:00 am - 7:00 pm May to November,www.facebook.com/Berberians-Farm-153136894701646/,(508) 393-8079,
Berlin Orchards,310 Sawyer Hill Road,Berlin,MA,01503,The farm store is open for the season every day from 10-5pm. Pick-Your-Own and pre-picked apples peaches and nectarines in the store along with local honey and cider donuts! apples. Pack a picnic lunch and spend some quiet time in the orchard. Hay wagons run on weekends to take our pickers into and out of the orchard. Offer School Tours.,www.Berlinorchards.com,(978) 838-2400,
Berries and Blooms ,31 South Road,Holden,MA,01520,PYO blueberries and raspberries mid July to Labor Day. Handicapped accessible. Children welcomed.  Produce picked by the staff also available. Small family owned and operated farm..,www.facebook.com/pages/Berries-and-Blooms/136205613185455,508-829-5494,
Beverly Bees,24 New Derby Street #2,Salem,MA,01970,100% Pure Raw Honey from local Massachusetts hives; hand poured beeswax candles; honey and beeswax lip balms and lotions from our own bees. We sell at farmer’s markets online and at our farm stand in Salem. Open from Wednesday - Sunday 11:00 am - 5:00 pm ,www.beverlybees.com,(978) 778-8276,
Birdhaven Blueberry Farm,55 Gunn Road,Southampton,MA,01073,Have 1068 blueberry bushes along with some raspberries black currants gooseberries and Asian pears. Come and fill your freezer for the winter or just grab a pint for a hot summer afternoon. Bring a blanket and picnic under the pear trees. We have buckets for your use or you can bring your own containers from home to pick into. Either way we think blueberry season is the best season around! **For large groups or large quantity picking during the week by appointment only! Give us a call!,www.birdhaven.net/,(406) 207-2643,
Black Birch Farm,105 Georgetown Rd,West Newbury,MA,01985,Honey beeswax queens nucs.,,(978) 994-9335,
Black Seed Farmstand,484 Main Street,Worcester,MA,01608,July to November Dates and Time to be announced. ,www.blackseedfarmersmarket.com,,
Blisscapes Nursery Tree Farm,751 Potomska Road,Dartmouth,MA,02748,Very informal location bedressed for rural environment. Property display's the best in ornamental and bird attracting plants in a natural setting. f.o.b. no credit cards.,www.blisscapes.com,(508) 636-6535,
Blue Heaven Blueberry Farm,246 Skyline Trail,Middlefield,MA,01243,PYO Blueberries and Raspberries. It's said that happy bushes produce the tastiest berries. Well between our loving care and the goodness in our soil we must be doing something right! Our berries get big (some are as big as a half dollar) and they taste amazing. If a care-free sunny afternoon had a flavor it would be our berries. Please call ahead after July 1st for availability. Open Tuesday thru Sunday 9am to 4pm closed Monday.,www.blueheavenblueberries.com/,(413) 623-8846,
Bob's Turkey Farm,181 Old Common Road,Lancaster,MA,01523,Breed raise and process all of our own turkeys here in Lancaster. All fed a well balanced grain diet w/no antibiotics or hormones instead a mix of vitamins and supplements to help support healthy growth and development. Fresh or frozen turkey turkey roasted & stuffed pies sausage patties ground cooked turkey meat party trays. Open Mon-Sat. 9-5pm.,www.bobsturkeyfarm.com,(978) 365-9271,
Bolton Orchards,125 Still River Road,Bolton,MA,01740,Offer a variety of fruits and vegetables including apples peaches plums pears tomatoes sweet corn and pumpkins. "So much more than a country store" with a fine delicatessen imported cheeses fresh flowers bakery goodies homemade sandwiches and dinner entrees grocery items specialty items fresh cider and fruit baskets. Now scooping old fashion ice cream!,www.boltonorchards.co/,(978) 779-2733,
Bolton Spring Farm,159 Main Street,Bolton,MA,01740,An old fashion country farmstand featuring our own apples peaches pears plums vegetables many varieties of pumpkins and gourds bakery apple dumplings donnuts preserves gifts mums picnic area. Sept/Oct: PYO apples and pumpkins hayrides. December: Christmas trees wreaths decorations.,www.boltonspringfarm.com,(978) 779-2898,
Bondeson & Sons,31 Golden Cove Road,Chelmsford,MA,01824,,,(978) 256-0662,
Bongis Turkey Roast,414 Kingston Way,Duxbury,MA,02332,Fresh dressed turkey pies sausage chili soup salad.,www.bongis.com/,(781) 585-2392,
Bootstrap Farm Club,1 Scraggy Neck Ext (corner Ret 28A)                                                      ,CATAUMET,MA,02534,Local food hub brings fresh locally grown organic and sustainable meats dairy produce pantry and prepared foods to the local community. Open year-round with selections that change with the season. SNAP EBT,www.bootstrapfarm.com,(508) 292-4080,
Boston Hill Farm,1370 Turnpike Street,North Andover,MA,01845,A 12 generation family owned and operated farm in North Andover Massachusetts. Farm Stand Pick Your Own and Home Grown with a wide variety of flowers fruits and vegetables.   ,www.Bostonhillfarm.com,(978) 681-8556,
Boston Honey Company ,100 Hanover street    ,Boston,MA,02101,Retail store within the Boston Public Market. Honey sampling year round. Honeybee observation Hive. Pure Beeswax Candles and skin care products all made with our own sustainable harvested Beeswax. Open Wednesday to Sunday 8am to 8pm. Validated parking ($1to$3) with purchase. ,www.bostonhoneycompany.com,(508) 429-6872,
Boston Honey Company Farmstand,45 Chestnut St,Holliston,MA,01746,Honey bee farm with picnic area. Offer school tours. Located on Holliston Rail Trail w/plenty of bicycle parking. Educational display/observational hive with honeybees.,bostonhoneycompany.com/holliston-farm.html,(508) 429-6872,
Boston Public Market Farmers' Market,100 Hanover Street -Indoors on the ground floor above the Haymarket MBTA Station,Boston,MA,02108,Dates & Times: year-round - Monday to Saturday 8:00 am - 6:00 pm Sunday 10:00 am - 6:00pm; EBT-SNAP Accepted,www.bostonpublicmarket.org,,
Bracken Brae Farm,495 Main Rd. ,Monterey,MA,01245,Open Daily 7:00 am - 7:00 pm.,www.facebook.com/brackenbraefarmstand, (413) 429-7401,
Brandywine Farm,48 Athol Richmond Rd.,Royalston,MA,01368,6000 sq. ft. high tunnel farm that serves 11 schools and one hospital. Grow year round and now open with small stand and CSA for campers and neighbors. Specialty is heirloom produce grown hydroponically. Grow in coco coir which retains moisture and allows for appropriate air and root growth. From our Farm to your Table.,,774-297-3216,
Brattle Farm,600 Williams St,Pittsfield,MA,01201,CSA farm with farmstand. Open daily 8:00 am - 7:00 pm year-round. Offer school tours.  CSA Pickup Days: Tuesday Saturday Starting in June.,www.brattlefarm.com/new-page/,(413) 822-1516,
Braunhardt Farm,17 Worcester Rd,Princeton,MA,01517,Fresh grown vegetables and fruit in season. Plant sale May 10 - June 15th while supplies last. Open May 10th-Oct. 31st 7am-7pm.,,(978) 464-7718,
Breezelands Orchards,1791 Southbridge Road,Warren,MA,01083,The perfect Central Massachusetts kid-friendly destination for autumn family fun. Offer one of the area’s last authentic apple orchard experiences. Make priceless memories as you explore our 100-acre apple orchard with tractor rides and picnic areas. And of course there is nothing more satisfying than a bushel of Pick-Your-Own Apples!,www.Breezelandsorchards.com,(413) 436-7100,
Breezy Acres Farm,25 Pleasant Street,Granby,MA,01033,Organic produce grower for bedding plants honey maple syrup eggs milk bread baked goods deli salads.,www.facebook.com/Breezy-Acres-Farm-804030729701412/,(413) 467-3276,
Breezy Gardens,1872 West Main St,Leicester,MA,01524,Family owned farm. Spring: Beautiful perennials tree shrubs statuary and fountains unusual flowering containers and herb collections. Sixty-five acres of fresh produce including mouth watering sweet corn. Host pre-booked agricultural educational field trips in the Fall that include hayrides to the pick your own pumpkins meet the llamas and an amazing corn adventure. Harvest season features a PYO pumpkin patch and corn maze.  Breezy Gardens Farm Market runs a Winter Box program at 6 McNeil Highway Leicester. In response to the Covid Pandemic we are offering pre-order box days with drive-up pick up twice a month. Anyone interested in this program should send a request for information to 2breezygardens@gmail.com. We start our farm market the last week of May. Please call for modified hours in May.,www.breezygardens.com,(508) 892-9201,
Breezy Hill Farm,35 Lashua Road,Ashburnham,MA,01430,A small sustainable farm raising prize winning livestock for prize winning meat: Pasture raised beef Lamb pork vegetables and cut flowers.,breezyhillfarm.weebly.com/,(978) 827-4732,
Broken Creek Farm,614 South St,Shrewsbury,MA,01545,Vineyard with winery and picnic area. Open for social events business meetings showers and weddings. ,brokencreekvineyard.com,(508) 925-5617,
Brookfield Orchards,12 Lincoln Road,North Brookfield,MA,01535,Apples pick-your-own and retail. Country Store with preserves honey and maple products cheese cider and gifts. Bakery with apple dumplings pies cider donuts. Snack bar picnic area playground wagon rides. Open year round - Closed Thanksgiving Christmas July 4. ,www.brookfieldorchardsonline.com,(508) 867-6858,
Brooksby Farm,38 Felton Street,Peabody,MA,01960,Pick-your-own strawberries blueberries peaches and apples; walking trails; cross-country ski area & rentals; hayrides; retail store; Harvest Festival; pumpkins; gift baskets. Close to historic Salem and its attractions. Have your Birthday party here. Call the store for daily picking information 978-531-7456  ,www.brooksbyfarm.org,(978) 531-7456,
Brookside Family Farm,145 Ashburnham State Rd.,Westminster,MA,01473,5 acres of mixed vegetables grown using sustainable practices; farm market and CSA. Accept WIC and Senior Coupons at farmers' markets. Also offer grass fed beef lamb goat pastured pork and fresh eggs.  CSA Products offered: Fruits Vegetables Pick-ups: On Farm,www.facebook.com/Brookside-Family-Farm-1196150547213622/,(978) 855-1837,
Brookside Farms,3 Wheeler Road,Townsend,MA,01474,Small family-owned poultry farm. ,,(978) 597-2481,
Brookwood Community Farm,11 Blue Hill River Road,Canton,MA,02021,Farm uses organic methods on 5 acres of revitalized farm land across 2 sites utilizing a community supported agriculture (CSA) model providing on-farm educational and community-building opportunities and actively supporting food access projects.   CSA Product offered: Vegetables Fruit CSA Pickup(s): on farm   Farm stand is open: Tuesday 1:00 pm - 5:30 pm Thursday 1:00 pm - 5:30 pm Saturday 9:00 am - 1:00 pm. ,www.brookwoodcommunityfarm.org,(617) 352-8046,
Brookwood Community Farm,11 Blue Hill River Road,Canton,MA,02021,Farm stand is open: Tuesday 1:00 pm - 5:30 pm Thursday 1:00 pm - 5:30 pm Saturday 9:00 am - 1:00 pm. SNAP accepted on Tuesdays and Thursdays.  ,www.brookwoodcommunityfarm.org,(617) 352-8046,
Burnt Hill Farm,118 Flagg Hill Road,Heath,MA,01346,10 lb and 20 lb boxes of pre-picked wiled low bush blueberries available by pre-order. Harvest begins late July. Please call 413-337-4454 to order.,www.burnthillfarm.com,(413) 337-4454,
C&C Reading Farm,175 East Center St.,West Bridgewater,MA,02379,The 74-acre C&C Reading Farm LLC formerly known as the Hayward Dairy Farm has a farmstand PYO and CSA and Christmas Trees. Offer hay rides school tours grain train rides kiddie and adult corn mazes and more! Organic CQP certified. Open Monday to Friday 10:00 am - 6:30 pm Saturday and Sunday 9:00 am - 6:30 pm May to December. ,www.ccreadingfarm.com/,(508) 857-0657,
C.N. Smith Farm Inc.,325 South Street,East Bridgewater,MA,02333,Family owned farm for over 80 years. Raise wide variety of fruits and vegetables for sale and PYO. Garden center. Hayrides in fall and group tours by appt.,www.cnsmithfarminc.com,(508) 378-2270,
Calabrese Farms,257 Feeding Hills Road,Southwick,MA,01077,Farmstand with fruits and vegetables. Asparagus rhubarb flowers strawberries apples peaches and more. Open daily 8:30 am - 7:00 pm through October. ,www.facebook.com/Calabrese-Farms-150493574994436/,(413) 569-6417,
Cape Abilities Farm,458 Main Street  Route 6A ,Dennis,MA,02638,Winter 2021-2022 Hours: Monday – Saturday 10:00 am – 5:00 pm Sunday 11:00 am – 4:00 pm. ,www.capeabilities.org/business-partnerships/cape-abilities-farm/,508-778-5040 ,
Cape Cod Lavender Farm,75 Island Pond Trail,Harwich ,MA,02645,Located on twelve secluded acres overlooking Island Pond in Harwich on Cape Cod. It is one of the largest lavender farms on the East Coast and boasts over 14000 plants. ,www.capecodlavenderfarm.com,(508) 432-8397,
Cape Cod Organic Farm Farmstand,3675 Main Street,Barnstable,MA,02601,Open 7 days 9:00 am - 3:30 pm May 1 to December 31 SNAP Accepted everyday except Wednesdays ,www.capecodorganicfarm.org,,
Cape Cod Winery,681 Sandwich Road,Falmouth,MA,02536,Located in the seasside resort of Falmouth Cape Cod Winery specializes in European vinifera grape varieties that reflect the very special character of the Cape's sun soil and climate.,www.capecodwinery.com,(508) 457-5592,
Cape Farm Supply and Cranberry Co.,374 Main St.,Harwich ,MA,02645,Guided tour on 9 passanger cart of 33 acres. Farm/Cranberry bog. Learn about cranberry bogs other related farming procedures. Reservation only for adults kids tours offered tour takes 1 1/2 hours.,www.cranberrybogtours.com,(508) 432-0790,
Carlson Orchards,115 Oak Hill Road,Harvard,MA,01451,Offer apples peaches nectarines raspberriesblueberries pumpkins cider mill & bottling area. Packing plant apple peeler slicer cider jelly boiler all on premises. Area attractions include the Fruitlands Museum.,www.CarlsonOrchards.com,(978) 456-3916,
Carpe Bee’m ,21 S. Chelmsford Road                                                                          ,Westford,MA,01886,Raw local honey varietals hive goodies hive tours for all ages Great Brook Farm and Kimball Farm are within 5 miles.,www.carpebeem.com,(978) 496-1500,
Carter and Stevens Farm,500 West St. (Rt. 122),Barre,MA,01005,Family run dairy farm since 1938. Local fresh milk homemade ice cream vegetables local beer wine groceries and so much more.,www.carterandstevensfarm.com,(978) 355-4940,
Carver Hill Orchards,101 Brookside Avenue,Stow,MA,01775,Variety of fruits vegetables & ice cream available at our farmstand.,www.carverhillorchard.com/,(978) 897-6117,
Cedar Spring Herb Farm,159 Long Pond Drive,Harwich ,MA,02645,7 acre site with identification gardens culinary gardens production area garden herb specialty shop along with 1/2 mile walking trails and picnic area. Open for special events and clients by appointment only.,www.Cedarspringherbfarm.com,(508) 430-4372,
Central Market - Twelve Moon Farm,27 Central Ave. ,Milton,MA,02186,Date and Time: Wednesday and Thursday 11:00 am - 3:00 pm,,,
Cervelli Farm,247 Rounsevill Rd.,Rochester,MA,02770,Daily 9:00 am -5:00 pm ,www.facebook.com/cervelli.farm/,(508) 728-2864,
Chamberlain Farm Stand Deli & Ice Cram,12 Friend Street,Berkley,MA,02779,The Chamberlain family has owned and operated the farm since 1969. Our main crop was and still is butternut squash. In the mid 90's we added cranberry bogs. In recent years we have add a beautiful wooden pavilion. We use the pavilion to host parties and functions. Our season runs from Spring to Fall.  ,www.chamberlainfarm.com,508-880-2817,
Chapley Gardens,Routes 5 & 10,Deerfield ,MA,01342,Specializing in aquatic plants for water gardens all supplies for watergardens annuals and perennials. We also costomize container gardens and sell unusual annuals. Chapley Gardens sells locally-grown fresh-cut Christmas trees and produce wreaths roping cemetary boxes kissing balls and centerpieces(holiday.),chapleygardens.net,(413) 774-7663,
Chase Hill Farm,175 Chase Hill Road,Warwick,MA,01378,Seasonal organic-certified grass-based dairy that produces and sells raw milk and cheese from grass-fed cows; beef porkorganic pasture-raised veal available at various times during the season. ,www.ourfamilyfarms.com/fellows.html,(978) 544-6327,
Chestnut Hill Farm ,9 Chestnut Hill Road,Southborough,MA,01745,12 acres of mixed vegetables herd of dairy goats and farmstand open to the public. School tours walks and hikes farm dinners kid's programs and opportunities to volunteer offered.   Hours: Tuesday Thursday Friday 2:00 pm - 6:00 pm; Saturday 9:00 am - 2:00 pm CSA Pick-Up Days: Tuesday Thursday Friday June 12 - October 28,www.thetrustees.org/places-to-visit/csa/chestnut-hill-farm-csa,(508) 785-0339,
