,Name,Rating,Date,Review
0,Caffé Vittoria,5 star rating,4/3/2022,"I don't reside in Boston, so my reviews tend to be of the places I love.  Caffe Vittoria is such a place.  A visit to Caffe Vittoria is a bit like stepping back in time to the 1930's.  It is also assuredly an opportunity to enjoy the best cappuccino in the USA.   

Service is not always consistent, so don't be in a rush.  It's ok to take your time and savor things."
1,Caffé Vittoria,5 star rating,1/12/2022,"Best. Cappuccino. Ever. 

I visited Boston from the SF Bay Area and really enjoyed the ambiance + coffee here. The powder on top elevated the drink a lot - subtle chocolate flavor lightly sweetened with the frothiness of the milk. 

Super yummy and would be such a great spot for a date or a drink with friends!"
2,Caffé Vittoria,3 star rating,12/16/2021,"I visit the cafe whenever I walk through the north end and it was a cute place! There were no issues being seated, but do expect indoors to be loud and crowded on weekend evenings. If you'd like a quieter experience, I recommend visiting earlier in the day. That being said, The BEST tiramisu in town. The espresso martini's are good, as well as the cappuccino.

Some things about the cafe:
-Have cash on hand
-it seems to be open pretty late, which is a plus factor.
-I'm not sure if it's because the building is old but there's an almost smoke like smell engrained into the building and walls. It reeks, almost like cigars, but there's no smoking allowed indoors so I'm not sure where it comes from. It's the biggest factor of why I don't like being in there too long. I eat my tiramisu and martini and leave asap.
-Due to the nature of the building being old, it seems they haven't renovated their bathrooms. There's holes in the walls in the bathrooms, which is creepy to say the least. 

Overall, they can preserve the buildings history while still making upgrades that would help out the cafe tons I'm sure. Still, good food and drinks and worth a stop when in the north end."
3,Caffé Vittoria,5 star rating,3/21/2022,So cute. Old school vibe with lots of locals. Friendly service -- all the espresso perfect for after a hearty Italian meal. almond milk cappuccino was perfect and the tiramisu was gone in 60 seconds. Perfect balance and not too sweet. I hear they have the best espresso martini :)
4,Caffé Vittoria,4 star rating,4/4/2022,Wish they had more options for non-coffee drinking customers. They only take cash only so be prepared for that.
5,Caffé Vittoria,4 star rating,3/13/2022,"Stopped in for a drink and to get out of the rain. Fun Italian vibe. Drinks were good but pricey, then again it is Boston and the North End. Service was great. Did not eat anything but the pastries looked good.  One day of my companions said it is the best espresso martini anywhere - could be fun to find out for yourself!"
6,Caffé Vittoria,5 star rating,11/28/2021,"A pretty cool ass cafe. Cafe Vittoria is a place to sip on some coffee or something more strong if you prefer a liquor. It has a pretty small menu of classy pastries and expensive things. Everything isn't extremely expensive though but it's more costly than a typical bakery. They also have desserts like sorbet. 

It doesn't have that much of a menu. Mostly it seems to be desserts and few things in the way of entrees and such. This is pretty much where to come after you've already eaten out and lie about being too full for dessert there. Coffee is a beverage of choice. There's also plenty of the classy hard stuff. I'm a Ladies Man so I get my Courvoisier. Please tell me you got the SNL reference there. It's $10 for a pour. They also have a Lemon Sorbet. It's $7 for a cup. This is fluffier than most sorbets. It has a light tartness that's not overwhelming or bitter. The only bad thing is it melts pretty fast so eat fast. 

A good place for classy desserts. It also has coffee and cognacs to sip on. The sorbet is the best palette cleanser so get it to finish up."
7,Caffé Vittoria,4 star rating,11/7/2021,"Stopped in for a cappuccino and walked out with a smile!

This CASH ONLY cafe knows how to do things right here. Their artistic creations brings happiness along with your drink.

This place is located on a very busy street so the crowd tends to shuffle in and spend some time enjoying the menu items."
8,Caffé Vittoria,4 star rating,12/5/2021,"Stopped by after dinner in the North End for some desserts and drinks on a Saturday night. This place was packed, but thankfully there are several floors so we were seated pretty quickly in the basement level.

Their menu is pretty expansive with a full bar and pretty much every coffee drink combination you could hope for. I got a mocha and flan for dessert. Upstairs vibe was loud, eclectic cafe x bar energy. Downstairs felt more like a pub with dark lighting, booths, woodsy interiors, and fewer people. Service was a bit slow, but to be expected due to the time.

Mocha was great and flan was rich and dense. Nice place to chat with friends and stay warm post dinner if you're not ready to head home yet. 

As a heads up, they were closing the basement level around 9:30pm on a Saturday and pretty much ushered us out (or we could have gone upstairs to wait for another table where it was really crowded). Something to keep in mind if you want to go chill here for a while. Also was cash only."
9,Caffé Vittoria,5 star rating,2/9/2022,"I absolutely love this cafe! This is a cash only place, and like most of North End establishments, it is pretty small so it can be a tight squeeze seating-wise. The inside is so cute, it's like being in an antique shop (in the best way!). Not to mention, their sweets are soo good. The tiramisu was perfection - not too sweet and had the right consistency. The limoncello mascarpone was on the sweeter side and also incredibly delicious."
10,Caffé Vittoria,5 star rating,3/15/2022,"BEST TIRAMISU EVER!! Come here after dinner for an amazing dessert. Its so light and fluffy, we had to order a second one it was so good."
11,Caffé Vittoria,4 star rating,11/12/2021,"Splendid.

Even though I do not drink coffee, I can tell their drinks are rich in flavor. They are also whimsical in appearance, fair in price, and vintage in name.

Whether you are going for an early morning pick me up, or that late night hopper, this is unparalleled value. Hard working ladies will ensure that you enjoy your hot beverage against the backdrop of 1940's and 1950's crooners swooning you with old favorites. It was a really special and unique experience that you can have too if you bring cash (sorry, no credit cards here folks). 

The best part was seeing customers recycle in and out. It seems people always want to be a part of something special here.

No wonder, because this cafe is something special."
12,Caffé Vittoria,5 star rating,4/6/2022,Best coffee in the North End.  They are cash only so just be aware of that when you go.
13,Caffé Vittoria,1 star rating,1/21/2022,"We stopped in to get out of the cold and grab some caffeine after an afternoon of shopping. Our small group had cappuccinos and sfogliatella. Service was a bit slow, but we understand it was very busy. Be aware that it is cash-only, tables are very close to each other, and the staff wear their masks under their chins (and do not respect personal boundaries, even after we asked nicely that they keep a little bit of distance). There is no excuse for being rude to customers and I'm sure there are other cafes with good cappuccinos in the area. (visited 11/7/15 and 12/31/21)"
14,Caffé Vittoria,5 star rating,9/6/2021,"By far my favorite cafe in North End! SUCH a cute shop with gorgeous interior design-- I love how they have old coffee machines/grinders and rustic framed posters. If you catch a spot by the window, you can get some natural sunlight and people watch. I came here 3 times during my one week Boston trip! 

Over three visit, I've tried their famous cappuccino, cannoli, tiramisu, iced latte, and americano. My favorite drink is the cappuccino and favorite dessert is the tiramisu by far. No complaints about the cappuccino-- the portion size was also quite large! Although the cannoli was very delicious already (especially dipped in the cappuccino!), their tiramisu is the best I've ever had. The flavor was so rich and I could really taste strong espresso in the soaked layers of cake. 

A perfect place to chill with a book, journal, or catch up with a friend, highly recommend!"
15,Caffé Vittoria,5 star rating,8/29/2021,"OMG! This has become my favorite haunt in North End. 

My friends and I all agreed that this place boasts the best tiramisu we've ever had. The first time we came, we split one slice and collectively finished it in about 30 seconds lol. My friend said he really liked the cannolis here too.

My favorite part of this shop is how their menu complements each other. I'd recommend pairing their pastries with a coffee drink with no sugar added, as the natural bitterness of espresso acts as a great palate cleanser in between bites of their sweet, creamy pastries. 

I was also a big fan of the venue, with seats next to their street-side windows. The natural sunlight here in the morning is great. 

Just be warned that this cafe, like most places in North End, is cash only, so come prepared! You definitely don't want to miss out."
16,Caffé Vittoria,5 star rating,12/18/2021,"Super cute place (very in the Christmas spirit when we went), very busy on a Saturday night, and they are CASH ONLY (but very fairly priced). We only tried the gelato which was delicious. I would love to go back and try their coffees and pastries as they also looked really good."
17,Caffé Vittoria,5 star rating,9/24/2021,"100% recommend!!! This was a highlight of our trip. To sit at a small Italian cafe (in the heart of little Italy) and be surrounded by individuals speaking the language helped us realize we were in for a treat. 

We ordered cappuccinos along with a slice of tiramisu. WOWOW... my mouth is watering thinking about it."
18,Caffé Vittoria,4 star rating,7/19/2021,"A quaint little spot to grab an Italian coffee and pastry. I especially loved seeing all of the espresso machines that the caffe has collected to display.

This caffe really reminded me of being back in Italy. You could walk into a bar, grab a quick coffee, say hello to friends, and then run off to continue your day. At Caffe Vittoria, much of the same was happening. Locals were stopping in to say hello and get their morning coffee. 

We stopped in hoping to enjoy breakfast pastries and a coffee. We have young children, and this isn't an ideal place to stop if you're worried about getting them something to eat also. The pastries are all rather dessert-like, except of course the biscotti. 

We ordered a cappuccino, americano, and a Napelatano. The pastry was yummy and very rich. The coffees were perfect. It's definitely a great place to stop for a coffee break and to have a seat and watch some of the world go by."
19,Caffé Vittoria,5 star rating,8/3/2021,"Located next to Mike's pastry. FYI do not eat your pastries from Mike's  if you order drinks etc. Not allowed. 

Nice service and we enjoyed our coffees."
20,Caffé Vittoria,5 star rating,3/21/2022,"I only wanted coffee! My daughter ordered the pastry for herself and it was so huge. As a mom, I had to help her. We're both so grateful. Wowza!"
21,Caffé Vittoria,5 star rating,7/6/2021,"This was a stop on a food tour and was the ""star of the show"" - cannoli in the opinion of the host was best in all of North End and after having one I could not disagree.  These are not mass produced like some of well known offerings on Hanover.  Not to say they aren't worthy of a stop but each city has those stops that are ""iconic"" but to locals you will find that better offerings are there for the taking (think cheesesteak in Philly, BBQ in Texas, Meixcan food in SoCal - there are well known spots and then the spots that the locals go to have that offering.  

Caffe Vittoria is that place for cannoli - the roll is crispy and not soggy due to pre-filled cheese.  The ricotta cheese is piped in AFTER shell is baked as it should be.  Best bite I had in Boston over the July 4th weekend.  Best sip you ask?  Oh why it was the cappucino here as well.  It was perfect temperature, silky and luscious with each sip.  I will definitely go back here next time around because of this cannoi and cappucino - it was that memorable - an easy 5 stars - don't even have to think about it - the mind doesn't come into it at all - just the taste."
22,Caffé Vittoria,5 star rating,7/17/2021,"My favorite place I visited while in Boston. This quaint, authentic cafe left nothing to be desired. We needed an afternoon pick me up, the cafe Vittoria delivered. We got iced lattes and a scoop of ice cream.

My favorite ice cream is Spumoni and only the authentic Italian places have the good stuff. I was delighted when I found out they offered it. It was so delicious and they drizzled a cherry sauce on top. The iced latte was just what we needed to continue our day - delicious, creamy and topped with coffee beans and chocolate shavings. 

Do yourself a favor and stop in here and enjoy one of the best places I've been to in a long time."
23,Caffé Vittoria,5 star rating,3/11/2022,"I will just say one word: TIRAMISU 
Now go, and enjoy. You are  welcome  Thank me later"
24,Caffé Vittoria,5 star rating,11/29/2021,"As much delicious food as there is to be had in the North End, coffee is a must for me.  Lavazza cappuccino with a delicious creama hit the spot!!  It was in the 30s and we'd been walking around for a little while.  This was my second visit - the place seems to be packed all the time.  It's crowded and loud.  I love every bit of it.  Our waitress was friendly, despite being very busy."
25,Caffé Vittoria,5 star rating,1/23/2022,"FYI: Cash Only! There is a sign outside, but somehow we missed it when walking in. We just stopped in for a Cafe Macchiato and Hot Chocolate and it was really delicious!"
26,Caffé Vittoria,4 star rating,11/8/2021,"Wonderful cafe in the North End. Solid gelato and coffee choices, as well as some alcoholic beverages. We tried the Caffe Mocha and it was wonderful. Service can be a little slow, but definitely worth the stop for an afternoon pick me up as a place to stop and rest before heading out again."
27,Caffé Vittoria,3 star rating,4/11/2021,"My friend and I came on a weekend morning for a sweet treat. The main room was full when we arrived, so we were seated in this back room with a perfect view of the trash barrels outside . I was surprised that the menu didn't have any prices, which made ordering pretty annoying.

We ordered an eclair and tiramisu to share. The eclair was nothing to write home about. It was cold, and the shell was kind of rubbery. The tiramisu, however, was absolutely delicious! It was actually the best tiramisu I've ever had! There wasn't an overwhelming amount of powder on top, and it was the perfect sweetness and texture! 

The service wasn't great though. The waitress barely came by. We wanted to order a second tiramisu, but literally an hour passed since she last checked on us. We literally had to ask for a check while she was finishing taking another table's order - or else who knows when she would come next. She also gave us the wrong receipt.

Overall, we loved the tiramisu and would've gladly gotten a second one. The poor service made the overall experience an okay-ish one. I doubt we'll be back to dine in - I'll try to grab a tiramisu for take out next time."
28,Caffé Vittoria,2 star rating,10/17/2021,"This was a definite miss for me. We had mediocre service, it was cash only, and my hazelnut latte was flavorless. 

It doesn't have a cute vibe or anything to make up for the downsides, so I'd look for another place for coffee instead."
29,Caffé Vittoria,1 star rating,10/9/2021,"Arrived on Saturday evening and instantly regretted it because this place was packed. We tried to find a table inside (failed) and then walked out disappointed. I find it curious none of the staff indoors let customers know that there are more seats in the other side of the cafe, which has its own separate entrance, counter, AND bathroom (you could easily mistake it for a restaurant next door). People often enter the side closer to the big white rectangular sign, see the tightly packed marble tables, and walk back out but I can assure you that right next to that entrance is another entrance that will lead to an entirely different lounge with bigger tables. 

I'm giving one star this time because after we failed to find a table for 4 indoors, we took a patio table. Someone came by to take our order while I had left to view the gelato flavors, but afterwards, no one came to take our order again. We tried to request a wait staff from the inside know that our table as well as all the other patio tables were ready to order. When I spoke with the counter staff to see if they could communicate someone to come outside, they stated they would be out but still no one came. We must've waited 20 minutes until we discovered the other lounge and sat at a table indoors yet again. Still no one came, even after it was obvious we had just sat at the back lounge. I spoke to 3 separate staff members to take our order, but it was not until I really took ahold of one by the counter, explaing that we had been waiting a while, that they finally sent someone over to our back table to take our order.  I most definitely understand the struggle of being shortstaffed during peak times and especially during the pandemic, but come on.... there was no apology. There was no ""Thank you for your patience."" Not acceptable. The gelato also came out half melted (not pictured), which was such a contrast to the gelato I was served when I first visited (see photos). This second visit left such a sour taste in my mouth that I don't think I'll be recommending this place to my friends and other locals again."
30,Caffé Vittoria,1 star rating,4/4/2022,"Horrible service.  Servers have an attitude, walked past us more than once to stand and take out their phones.  No smiles, which if you expect a tip you've got to earn it. Disappointing as I had heard so many good things about the espresso martinis.  Beverage itself was good, but didn't get positive vibes from the wait staff"
31,Caffé Vittoria,4 star rating,9/17/2021,"The ancestors would be very glad dropped by to be frank. It's old school in a good way. Staff is friendly and with Covid I'm sure they are having a time. You can use the QR code for the menu.
I'll tell you this kids I could sit here all day and try all the sweets. I got here before noon cause no true Italian has cappuccino after noon time as it's a breakfast drink. It's beautifully made and hits the spot. The tiramisu was just right not too much of it a nice slice actually if I were you and you were with others order ones for each of you. Most places in the states done really know how to make it.. here it was smooth and creamy.

The inside is lovely it reminds me of this spot I use to go to in Rome. You see the huge copper looking espresso machine.

A FEW THINGS

1)DO NOT BRING STUFF FROM MIKES NEXT DOOR 

2) CASH ONLY

Parking are you for real...it's Lil Italy you can't park right here but it's a 10 walk from the North Station Commuter Train"
32,Caffé Vittoria,4 star rating,9/17/2021,"This is right next Mike's pastries. The entrance is a bit hidden so just look closely. 
They could improve on their advertising by having their name in a big easel board in front of their store. Also, they need to showcase their pastries better.  These are homemade pastries! To see what they offer, i had to go near the bathroom and take a look. They are inside a fridge and it is not well lit...sigh!! Much can be improved. 
The coffee, hot chocolate and lobster tail was delicious! So yes, i do recommend this place."
33,Caffé Vittoria,3 star rating,1/19/2022,Cute little spot in North End.  Easy ordering at the tables.  We got a couple of hot chocolates to escape the rain and really loved the decor and the drinks.  Will be back!
34,Caffé Vittoria,4 star rating,9/12/2021,Busy! Cappuccino macchiato and cannoli. We sat outside. Perfection ! Only thing that could use improvement? The way you get an outside seat. It's not clear if you wait or ask.
35,Caffé Vittoria,4 star rating,1/28/2021,"Hot chocolate was just what I needed today with all the snow flurries! My roommate and I love exploring new places in Boston and after coming to this cafe, we will definitely be returning. What's really cool is that it's Boston's first Italian cafe! The decor inside fits the vibe perfectly.

My roommate and I both tried the 'Sleigh Ride' which is hot chocolate with Godiva chocolate and Baileys. It was delicious! The one down side to this cafe is that it is cash only and we didn't know this before we left the apartment. I never carry cash on me, but luckily my roommate had just enough for the drinks. If we had known, we would have brought more cash and tried some of the pastries!"
36,Caffé Vittoria,5 star rating,9/24/2021,I came here at night for the espresso martini and a cannoli. The martini was super good and strong as well. The cannoli filling was sooo good. Service was very fast. Definitely a great place to go for drinks and dessert after dinner. Pro tip: it's cash only
37,Caffé Vittoria,4 star rating,1/13/2021,"Covid review:

I came here in August. 

Cash only !

I love the decor so much.  The coffee and cannolli are basic. Sorry ill say it. The cannoli cream is home made but I can get better down the block. The coffee was okay.  We had some grappa, which was so nice !  Good service too. Overall its a cute spot to sit down and relax for a minute, take in all the cute decor and history."
38,Caffé Vittoria,5 star rating,2/6/2021,"Went to Caffe Vittoria to try their famous limoncello cake slice and it was a hit! This beautiful Italian cafe takes you out of Boston and immediately transports you to Italy. Everything in the caffe makes you feel as if you are somewhere in Europe. The decor and old  coffee machine scattered around the cafe are entertaining to look at. This place is also HUGE I thought it was small, but if you walk to the end of the hall there is a loop that takes you to a different room with more tables and old decor. I would say this is an experience type of coffee place. 

The limoncello cake was a fluffy decadence. It was moist  and the mascarpone icing blends well with this moist cake. I loved the experience!"
39,Caffé Vittoria,5 star rating,6/15/2021,My companion and I were walking through the North End section of Boston and decided on a whim to stop in Caffe Victoria for a cappuccino.  It was the best decision of our day!  We loved the authenticity of the cafe.  There were people chatting in both English and Italian....which added to the experience.  The cappuccino was by far THE BEST we've ever had.  Perfect!  A must when in Boston!
40,Caffé Vittoria,5 star rating,12/13/2021,"This cafe was one of the highlights of our trip. Delicious coffees and desserts with cute vintage decor. We especially enjoyed the cappuccino and tiramisu. 
They only accept cash, so make sure you bring enough to buy different desserts! ;)"
41,Caffé Vittoria,5 star rating,6/13/2021,"Cash Only. When I went here I felt I was teleported back in time, it has a very old-time classic European cafe feel. Everything is very affordable, we got two teas (they use hot water and tea bags) and tiramisu, both very good"
42,Caffé Vittoria,4 star rating,2/4/2022,"Stopped here for hot cocoa during a rainy day. Delicious cocoa and great presentation. They also had the most appetizing desserts. Remember, it's cash only! Also important to note that this place is open late, which makes it the perfect slate night dessert spot"
43,Caffé Vittoria,4 star rating,11/19/2021,"Latte was good, ambiance is good as well. The back part not so, only because it smells like cigar, other than that, the vibe is very Italy! Less a star since they only accept cash and wont allow you to eat anything else, like the cannoli in the picture. As a tourist, we are disappointed."
44,Caffé Vittoria,5 star rating,9/28/2021,"Delicious coffee, dessert and very kitschy atmosphere that makes you feel like you're in Europe. Very nice spot for after dinner. I highly recommend caffe coretto with Fernet Branca. Cheesecake is gluten free if you don't eat the crust, and quite good. Reasonable prices, cash only, service is very casual, so don't be in a hurry."
45,Caffé Vittoria,5 star rating,4/2/2021,"Love Vittoria! I am in the neighborhood a lot, and this is the place we bring folks who are visiting us or we will go just because!  My favorite drink is the hot coco, hands down.  The pastry is always fresh and delicious and would rather be seated at old world charm Vittoria than any other coffee place in the N. End.  Suggestion is that the app menu have a full menu listing of what is offered and have prices of what is offered.  Staff are pretty nice and the place can be extremely busy. It is cash only, prices and full menu please."
46,Caffé Vittoria,3 star rating,8/22/2020,"The espresso martini was good. Tiramisu was only ok nothing more( although we heard amazing reviews on it).
The hazelnut ice cream was good but the pistachio was really not good, it didn't have the flavor of pistachio. This place takes only cash. There are seats inside and outside. I would give this place 3/5 also for social distancing."
47,Caffé Vittoria,4 star rating,1/25/2022,"This place was such a vibe. The whole place was packed with groups of people and the ambiance was super loud. We had to seat ourselves and wait for a waiter to approach us to take our order. For me this place wasn't much for the desserts or drinks they offered but the ambiance, although their desserts are pretty great too. We had so much fun just sitting there and being as loud without getting eyed by people and enjoying our treats. I loved the tiramisu, cotton candy gelato, and the cannoli. Only downside is that you'll probably have to wait forever to get your order taken and getting served. We went on a Monday night and it was full to the point that people were waiting outside in the line to get in."
48,Caffé Vittoria,5 star rating,1/17/2022,Honestly? BEST latte I've probably had from any restaurant. Just add one packet of sugar (obviously your preference) and your set. The place is small but definitely has such a Italian coffee shop vibe. Will continue to go back over and over (:
49,Caffé Vittoria,3 star rating,7/3/2021,"My wife and i ate here this afternoon for the first time. I had a Cappuccino, my wife a regular coffee. For a pastry i ordered the Chocolate Gannoche and my wife had the Tiramisu. He dessert didn't have the rum fflavor typical of Tiramisu and it was small. My dessert was pretty good. So was the Cappuccino. The total was $16.00. The only thing we were not satisfied with was the waitress. Our waitress walked over and just looked at us with a blank stare. We were the ones who had to engage her. She did not smile and was extremely impersonal. A real drag."
50,Caffé Vittoria,2 star rating,5/17/2021,"My wife and I were in the area and were looking for a little pick me up before our tour started later in the afternoon. We walked in and stood near the doorway before the waitstaff acknowledged us and finally told us to have a seat at any table. I ordered the cappuccino and my wife had the chinotto (Italian soda). It didn't take long for us to be ready to go, but the waitstaff never came to check on us again after being served the drinks. It got to the point where I went up to the counter to get the bill and pay just so that we could leave at a reasonable time. It was not a busy day, and I could see several waitresses playing on their phones instead of ensuring their customers were taken care of. While the drinks were tasty, if this is the typical experience Caffe Vittoria has to offer, I'd recommend taking your money elsewhere."
51,Caffé Vittoria,4 star rating,7/28/2021,"Grabbed a latte and an espresso with a buddy! Great flavor, beautiful decorations and a great view of Hanover street!"
52,Caffé Vittoria,5 star rating,2/28/2021,"A tried and true classic in the North End.  
No matter where you end up for dinner or lunch be sure to cap it off with dessert, coffee, or a cocktail here.
Very classic caffé decor and feel.  The wait staff are always great and attentive. 
Great beverage options and the baristas are always filling you up with whatever you need!"
53,Caffé Vittoria,1 star rating,9/29/2021,"No customer service. We bought some cannolis at Mike's Pastries and came inside with them and were ready to order.  We said we'd like to eat them outside and asked for outside seating, then were told to go outside and wait to be served. Fifteen minutes later we still had no one helping us so we went back inside and then were told again to go outside and wait to be served. Over ten minutes later no one came. Another party who came was instantly served when they sat down. By the time they came to us we had been waiting 30 minutes.  Upon asking for our order we were told there was a policy against eating outside food.... We should have left after waiting ten minutes but the reviews seemed very good.  In any case we were very annoyed at the lack of attention and just decided to leave."
54,Caffé Vittoria,4 star rating,9/28/2020,"Coffee in America has been morphed into a fast food experience where you wait in a line and receive a paper cup bearing your misspelled name. Coffee was meant to be drank in leisure over conversation while digesting an exquisite meal. The coffee should be meticulously crafted with quality ingredients and served in a cup that's not destined for a recycling bin the moment after you've taken your final sip. It should be enjoyed in an environment that is both lively and without a trace of precipitancy. The right time is any time that one is still so lucky as to have, and a wonderful place to spend it is at Caffé Vittoria with spectacular coffee and companionship."
55,Caffé Vittoria,5 star rating,8/3/2021,"After searching for a aesthetically pleasing coffee shop online, I stumbled upon this one as well as a friend recommending it. It was a busy spot! But was such a cute shop to grab an iced coffee and dessert with some friends."
56,Caffé Vittoria,4 star rating,9/8/2020,"An old school coffee shop in Boston's North End.

Narrow inside with a few tables, along with outdoor seating. All old school coffee machines, some of which they still use! Service is fast and there is always a barista on hand to take your order. All drinks can be made iced, which is a selling point in my book. No extra charge for soy or almond milk, which is another selling point.

Definitely more of a grab and go type place with excellent coffee and even better prices. Two iced lattes with soy for $4!"
57,Caffé Vittoria,5 star rating,2/16/2022,Best espresso martini ever! Highly recommend coming here. Cute cafe atmosphere and great service
58,Caffé Vittoria,1 star rating,9/4/2021,"We walked in and were coldly greeted with the most unfriendly, dead-mackerel-eyed waitress. The café was not very busy but she obviously hated her job. And humans. She ignored us until we left without giving this place our business. Extremely rude."
59,Caffé Vittoria,5 star rating,7/6/2021,"I come here whenever I bring guests to the North End. It's a cozy, aesthetic place on the popular Hanover Street. 

The gelato is really rich, very delicious. The flavor is concentrated goodness. Everyone always enjoys the gelato. They give you tiny spoons so that you really savor every tiny bite. The drinks that I've had are also great, particularly the iced mocha. 

If you order an ice water, don't expect it to come quickly, but service is otherwise pretty fast. Cash only. I don't think they have prices for anything on the menu but everything drink or gelato that I've had is $4-5."
60,Caffé Vittoria,5 star rating,11/29/2021,"A great little spot to stop by after dinner for a cappuccino, some hot chocolate or a canoli. We loved the cozy, comfortable atmosphere."
